feature,judge_importance,fan_importance,difference,abs_difference
ballroom_partner_Sharna Burgess,0.016687316500486146,0.015342989692209706,-0.0013443268082764404,0.0013443268082764404
industry_clean_Radio Personality,0.0033722515978761693,0.00464593054656538,0.0012736789486892108,0.0012736789486892108
industry_clean_Conservationist,0.0012483277355390808,9.111717230247324e-06,-0.0012392160183088334,0.0012392160183088334
ballroom_partner_Edyta Sliwinska,0.00457253168005244,0.005803840604462801,0.0012313089244103612,0.0012313089244103612
home_country_clean_Australia,0.001234809737608618,0.0001310975658665361,-0.001103712171742082,0.001103712171742082
ballroom_partner_Anna Trebunskaya,0.0014545480140259765,0.0003797952437189516,-0.001074752770307025,0.001074752770307025
ballroom_partner_Rylee Arnold,0.001067981014894143,0.0,-0.001067981014894143,0.001067981014894143
home_country_clean_England,0.006814656203537992,0.005771945617401453,-0.0010427105861365383,0.0010427105861365383
ballroom_partner_Val Chmerkovskiy (Joey Graziadei week 9),0.001131220752152646,0.00010075804028919251,-0.0010304627118634534,0.0010304627118634534
ballroom_partner_Witney Carson (Xoshitl Gomez week 9),0.0009095608703962569,0.0,-0.0009095608703962569,0.0009095608703962569
ballroom_partner_Pasha Pashkov,0.0024128940268014743,0.0032941230626803565,0.0008812290358788822,0.0008812290358788822
home_country_clean_Canada,0.004203970628493951,0.005048588810178636,0.0008446181816846848,0.0008446181816846848
ballroom_partner_Peta Murgatroyd,0.006669283547109525,0.005842926135981259,-0.0008263574111282658,0.0008263574111282658
ballroom_partner_Ezra Sosa (Apolo Anton Ohno week 9),0.0017746553725781111,0.0010191335695852002,-0.000755521802992911,0.000755521802992911
home_country_clean_Czechoslovakia,0.0006977555794635781,5.180331694494585e-07,-0.0006972375462941287,0.0006972375462941287
ballroom_partner_Ezra Sosa,0.0006452733030766288,0.0,-0.0006452733030766288,0.0006452733030766288
industry_clean_Social media personality,0.0007059077743227551,6.528303495717311e-05,-0.000640624739365582,0.000640624739365582
home_country_clean_United States,0.013407584778445017,0.014035664453032727,0.0006280796745877105,0.0006280796745877105
ballroom_partner_Corky Ballas,0.0005822365952785503,0.0,-0.0005822365952785503,0.0005822365952785503
home_country_clean_Taiwan China,0.0006037555550210752,4.364682935389365e-05,-0.0005601087256671815,0.0005601087256671815
ballroom_partner_Dmitry Chaplin,0.0006353944313219752,0.00014349893431175648,-0.0004918954970102187,0.0004918954970102187
ballroom_partner_Julianne Hough,0.0024975760274595234,0.0020682322386907535,-0.0004293437887687699,0.0004293437887687699
industry_clean_Fashion Designer,0.000397528915752461,2.645275305763459e-07,-0.0003972643882218847,0.0003972643882218847
industry_clean_Singer/Rapper,0.01537448318427277,0.015745412402525458,0.0003709292182526875,0.0003709292182526875
ballroom_partner_Brandon Armstrong,0.0008190818751278953,0.0011720845550337055,0.0003530026799058102,0.0003530026799058102
home_country_clean_Poland,3.0370783713437736e-05,0.0003755014538653033,0.00034513067015186556,0.00034513067015186556
ballroom_partner_Val Chmerkovskiy,0.00029767439624249037,0.0,-0.00029767439624249037,0.00029767439624249037
industry_clean_Musician,0.00032558165806571924,0.0006097905296532696,0.0002842088715875504,0.0002842088715875504
home_country_clean_New Zealand,6.334623621512432e-07,0.0002805719187633737,0.00027993845640122245,0.00027993845640122245
home_country_clean_Germany,0.0002655632162757243,1.8057411327551766e-08,-0.00026554515886439674,0.00026554515886439674
industry_clean_Astronaut,0.0002605205774239111,1.3101672444804087e-06,-0.0002592104101794307,0.0002592104101794307
home_country_clean_France,0.000168836514171435,0.00042104047984827664,0.00025220396567684166,0.00025220396567684166
ballroom_partner_Tristan MacManus,0.00022925045833833437,0.0,-0.00022925045833833437,0.00022925045833833437
ballroom_partner_Daniella Karagach (Rumer Willis week 9),0.0013896352637051037,0.0011644626536056193,-0.00022517261009948443,0.00022517261009948443
ballroom_partner_Elena Grinenko,0.0033376614137407908,0.003114953728859253,-0.0002227076848815377,0.0002227076848815377
ballroom_partner_Emma Slater/Kaitlyn Bristowe (week 9),0.00023402355447892749,5.872011429320874e-05,-0.00017530344018571874,0.00017530344018571874
industry_clean_News Anchor,0.0002268730691890437,0.0004015312703201449,0.0001746582011311012,0.0001746582011311012
ballroom_partner_Jan Ravnik,0.00015110462474816262,0.0,-0.00015110462474816262,0.00015110462474816262
home_country_clean_Spain,0.0001492900958323828,5.331968828909128e-07,-0.00014875689894949188,0.00014875689894949188
home_country_clean_South Africa,4.493805548655343e-07,0.00011381693122718606,0.00011336755067232053,0.00011336755067232053
industry_clean_Producer,0.0,0.00010782164474812048,0.00010782164474812048,0.00010782164474812048
industry_clean_Journalist,0.0002606910703779026,0.0001543327947194208,-0.00010635827565848177,0.00010635827565848177
ballroom_partner_Jesse DeSoto,9.55624415262832e-05,3.153406248179389e-14,-9.556244149474914e-05,9.556244149474914e-05
industry_clean_Politician,0.0008726321927698148,0.0007797624594843,-9.286973328551476e-05,9.286973328551476e-05
ballroom_partner_Koko Iwasaki,0.00041989118728948506,0.0005067197024041399,8.682851511465487e-05,8.682851511465487e-05
ballroom_partner_Damian Whitewood,6.8690441274754e-05,0.0,-6.8690441274754e-05,6.8690441274754e-05
ballroom_partner_Lacey Schwimmer,0.009679776372355802,0.009737907938916412,5.813156656061039e-05,5.813156656061039e-05
home_country_clean_Venezuela,4.578604534804151e-05,0.0,-4.578604534804151e-05,4.578604534804151e-05
home_country_clean_Mexico,0.00040022394718754325,0.0004436472434408157,4.3423296253272464e-05,4.3423296253272464e-05
ballroom_partner_Tyne Stecklein,4.013200884100626e-05,0.0,-4.013200884100626e-05,4.013200884100626e-05
ballroom_partner_Anna Demidova,1.2831895148789085e-05,0.0,-1.2831895148789085e-05,1.2831895148789085e-05
home_country_clean_Philippines,0.0,1.522649171890582e-07,1.522649171890582e-07,1.522649171890582e-07
ballroom_partner_Kym Herjavec,0.0,0.0,0.0,0.0
ballroom_partner_Andrea Hale,0.0,0.0,0.0,0.0
industry_clean_Beauty Pagent,0.0,0.0,0.0,0.0
ballroom_partner_Brian Fortuna,0.0,0.0,0.0,0.0
ballroom_partner_Inna Brayer,0.0,0.0,0.0,0.0
industry_clean_Military,0.0,0.0,0.0,0.0
industry_clean_Magician,0.0,0.0,0.0,0.0
ballroom_partner_Henry Byalikov,0.0,0.0,0.0,0.0
ballroom_partner_Nick Kosovich,0.0,0.0,0.0,0.0
ballroom_partner_Fabian Sanchez,0.0,0.0,0.0,0.0
home_country_clean_Ireland,0.0,0.0,0.0,0.0
